Year,T2M,RH2M,PRECTOTCORR,District_Name,NDVI,Yield
2015,26.184602739726024,52.65778082191781,966.58,Gorakhpur,0.2965063412592394,2.1919994450728875
2016,26.222185792349727,53.080327868852464,1222.27,Gorakhpur,0.3261900919554771,2.5250021703272854
2017,26.26983561643836,55.223780821917806,1256.5,Gorakhpur,0.3430517396027308,2.748600238963989
2018,25.722246575342467,54.67616438356164,1278.4,Gorakhpur,0.3146117150683365,2.7208088680307068
2019,25.606493150684933,60.19619178082192,1372.43,Gorakhpur,0.3398535557105223,2.6495235477852765
2020,24.576256830601093,64.36901639344262,1437.66,Gorakhpur,0.3542942788744039,2.9267456391838107
2021,25.015424657534243,62.97808219178082,1938.02,Gorakhpur,0.3903454650519755,3.0610006455094765
2022,25.33835616438356,63.89945205479452,1148.68,Gorakhpur,0.4023469326360842,3.114002491340752
2023,25.733123287671237,59.07391780821918,1079.09,Gorakhpur,0.3791647409652752,3.247012391294079
2024,25.95161202185793,58.2107650273224,1308.87,Gorakhpur,0.3697024343224858,1.7419985597670398
2015,24.937972602739727,46.55495890410959,862.4499999999999,Meerut,0.3427072074812157,3.6080049619625063
2016,26.06122950819672,39.60122950819672,658.41,Meerut,0.431340126372631,3.722003591017537
2017,25.61068493150685,43.31172602739726,655.45,Meerut,0.5098748211788817,3.703002979860255
2018,25.093342465753423,48.15739726027397,840.51,Meerut,0.4785707677930205,3.5860014807221368
2019,25.157232876712328,50.07378082191781,639.66,Meerut,0.4395181329458182,3.667001543701453
2020,24.59549180327869,51.44505464480874,745.81,Meerut,0.4658548784151139,4.079997537400726
2021,24.41156164383561,54.71969863013698,1124.21,Meerut,0.452110710472178,4.209002026794478
2022,25.049561643835617,55.78082191780822,857.4,Meerut,0.4288275419392842,4.13000409018866
2023,24.28490410958904,57.17380821917808,1007.27,Meerut,0.4752289621524547,4.291995505148173
2024,25.159726775956283,52.668907103825134,927.64,Meerut,0.447489980148146,3.222999263855295
2015,25.844438356164385,43.22282191780822,631.44,Aligarh,0.3912592403571502,3.045002254063123
2016,26.455519125683058,40.8746174863388,686.07,Aligarh,0.3461319085526362,2.855999173828318
2017,26.212246575342466,42.043506849315065,589.0600000000001,Aligarh,0.3474778136721176,3.2169997721958
2018,25.771424657534247,46.9992602739726,782.17,Aligarh,0.4124950366675434,3.3869999412293907
2019,25.70991780821918,49.25805479452055,601.42,Aligarh,0.3469010973611652,3.193001708532402
2020,25.511803278688525,47.73060109289618,555.76,Aligarh,0.3848948829588733,3.5450004282964174
2021,24.974438356164384,53.848821917808216,971.42,Aligarh,0.3964885765428672,3.7659994490864017
2022,25.69690410958904,53.55534246575343,749.94,Aligarh,0.4116323066144078,3.465000412136976
2023,25.133397260273973,53.60934246575342,782.89,Aligarh,0.4303181655178403,3.601001380449112
2024,25.653797814207653,51.65967213114754,817.63,Aligarh,0.383400468193167,2.448001719913825
2015,26.116438356164384,49.64556164383562,878.09,Jhansi,0.172567998063925,2.073676077547127
2016,26.84142076502732,46.87308743169399,822.39,Jhansi,0.3379343169275037,2.080985010327008
2017,27.361780821917804,41.88432876712329,542.29,Jhansi,0.3125405508705597,1.896062882995258
2018,26.71126027397261,47.25643835616438,912.16,Jhansi,0.3647490986015002,2.721690208283457
2019,25.956657534246578,54.23835616438356,824.62,Jhansi,0.3411132122374698,2.4779107742671185
2020,26.0853825136612,50.97191256830602,651.29,Jhansi,0.3571676171726771,2.698650811478632
2021,26.28687671232877,51.52112328767123,861.17,Jhansi,0.3625897031958005,3.128604395850604
2022,26.140958904109592,54.84293150684932,983.01,Jhansi,0.4362103842002344,2.7838376331755192
2023,25.69008219178082,55.2389589041096,892.72,Jhansi,0.4132735519299916,1.5346059562927032
2024,25.934890710382515,56.41655737704918,1070.03,Jhansi,0.3918529760595541,1.184314560076357
